AM15_G_wav	wavelength
4.7309e-23	280
1.2307e-21	280.5
5.6895e-21	281
1.5662e-19	281.5
1.1946e-18	282
4.5436e-18	282.5
1.8452e-17	283
3.536e-17	283.5
7.267e-16	284
2.4856e-15	284.5
8.0142e-15	285
4.2613e-14	285.5
1.3684e-13	286
8.3823e-13	286.5
2.7367e-12	287
1.0903e-11	287.5
6.2337e-11	288
1.7162e-10	288.5
5.6265e-10	289
2.0749e-09	289.5
6.0168e-09	290
1.3783e-08	290.5
3.5052e-08	291
1.0913e-07	291.5
2.683e-07	292
4.2685e-07	292.5
8.6466e-07	293
2.2707e-06	293.5
4.1744e-06	294
6.5911e-06	294.5
1.229e-05	295
2.7826e-05	295.5
4.7904e-05	296
7.1345e-05	296.5
9.679999999999999e-05	297
0.00018608	297.5
0.00028988	298
0.00035789	298.5
0.00049211	299
0.00086068	299.5
0.0010205	300
0.001245	300.5
0.00193	301
0.0026914	301.5
0.0029209	302
0.004284	302.5
0.0070945	303
0.0089795	303.5
0.0094701	304
0.011953	304.5
0.016463	305
0.018719	305.5
0.018577	306
0.021108	306.5
0.027849	307
0.035635	307.5
0.037837	308
0.04143	308.5
0.040534	309
0.043306	309.5
0.050939	310
0.06554	310.5
0.082922	311
0.08408	311.5
0.093376	312
0.098984	312.5
0.10733	313
0.10757	313.5
0.11969	314
0.1306	314.5
0.13625	315
0.11838	315.5
0.12348	316
0.15036	316.5
0.17158	317
0.18245	317.5
0.17594	318
0.18591	318.5
0.2047	319
0.19589	319.5
0.20527	320
0.24525	320.5
0.25024	321
0.23843	321.5
0.22203	322
0.21709	322.5
0.21226	323
0.24861	323.5
0.27537	324
0.28321	324.5
0.27894	325
0.32436	325.5
0.3812	326
0.40722	326.5
0.39806	327
0.38465	327.5
0.35116	328
0.37164	328.5
0.42235	329
0.46878	329.5
0.47139	330
0.428	330.5
0.40262	331
0.41806	331.5
0.43623	332
0.43919	332.5
0.42944	333
0.40724	333.5
0.41497	334
0.44509	334.5
0.46388	335
0.45313	335.5
0.41519	336
0.38214	336.5
0.3738	337
0.40051	337.5
0.43411	338
0.45527	338.5
0.46355	339
0.47446	339.5
0.5018	340
0.50071	340.5
0.47139	341
0.46935	341.5
0.48934	342
0.50767	342.5
0.51489	343
0.48609	343.5
0.41843	344
0.40307	344.5
0.45898	345
0.48932	345.5
0.47778	346
0.48657	346.5
0.49404	347
0.47674	347.5
0.47511	348
0.48336	348.5
0.46564	349
0.47805	349.5
0.52798	350
0.56741	350.5
0.55172	351
0.53022	351.5
0.51791	352
0.48962	352.5
0.5204	353
0.57228	353.5
0.60498	354
0.61156	354.5
0.6114000000000001	355
0.59028	355.5
0.55387	356
0.51942	356.5
0.45673	357
0.46215	357.5
0.43006	358
0.39926	358.5
0.46953	359
0.56549	359.5
0.59817	360
0.56531	360.5
0.52024	361
0.50956	361.5
0.5342	362
0.5851	362.5
0.6019099999999999	363
0.58541	363.5
0.60628	364
0.60058	364.5
0.62359	365
0.68628	365.5
0.73532	366
0.73658	366.5
0.72285	367
0.70914	367.5
0.66759	368
0.6631	368.5
0.69315	369
0.74469	369.5
0.75507	370
0.6826100000000001	370.5
0.69338	371
0.72051	371.5
0.67444	372
0.64253	372.5
0.61886	373
0.55786	373.5
0.5564	374
0.55227	374.5
0.5893	375
0.65162	375.5
0.6748	376
0.6639	376.5
0.71225	377
0.79455	377.5
0.85595	378
0.83418	378.5
0.7438900000000001	379
0.66683	379.5
0.70077	380
0.75075	380.5
0.76383	381
0.68837	381.5
0.58678	382
0.50762	382.5
0.45499	383
0.44049	383.5
0.50968	384
0.61359	384.5
0.67355	385
0.64363	385.5
0.621	386
0.6457000000000001	386.5
0.65147	387
0.6420400000000001	387.5
0.6358200000000001	388
0.63136	388.5
0.68543	389
0.7597	389.5
0.79699	390
0.80371	390.5
0.85138	391
0.86344	391.5
0.79493	392
0.66257	392.5
0.47975	393
0.38152	393.5
0.49567	394
0.68385	394.5
0.80772	395
0.86038	395.5
0.7565499999999999	396
0.55017	396.5
0.42619	397
0.62945	397.5
0.85249	398
1.0069	398.5
1.0693	399
1.1021	399.5
1.1141	400
1.1603	401
1.2061	402
1.1613	403
1.1801	404
1.1511	405
1.1227	406
1.1026	407
1.1514	408
1.2299	409
1.0485	410
1.1738	411
1.2478	412
1.1971	413
1.1842	414
1.2258	415
1.2624	416
1.2312	417
